Age_range,Metrics,Value
2 (91-180),Avg.commits,201.38200408997955
2 (91-180),Avg.stars,7.478118609406953
2 (91-180),Avg.size,92713.78200408998
2 (91-180),Avg.functions-calls,1.521881390593047
2 (91-180),Total.projects,2445
2 (91-180),Avg.AutoML-tools,0.7161554192229039
1 (0-90),Avg.commits,454.67684497093666
1 (0-90),Avg.stars,1.864616290192039
1 (0-90),Avg.size,41762.03826061364
1 (0-90),Avg.functions-calls,1.3974689132514164
1 (0-90),Total.projects,13591
1 (0-90),Avg.AutoML-tools,0.6302700316385843
3 (181-270),Avg.commits,152.11753731343285
3 (181-270),Avg.stars,7.1554726368159205
3 (181-270),Avg.size,83810.37748756219
3 (181-270),Avg.functions-calls,1.5808457711442787
3 (181-270),Total.projects,1608
3 (181-270),Avg.AutoML-tools,0.7437810945273632
9 (>720),Avg.commits,1204.9217207334273
9 (>720),Avg.stars,429.14174894217206
9 (>720),Avg.size,123726.12623413258
9 (>720),Avg.functions-calls,2.3081805359661494
9 (>720),Total.projects,1418
9 (>720),Avg.AutoML-tools,0.6798307475317349
4 (271-360),Avg.commits,220.87767584097858
4 (271-360),Avg.stars,17.71559633027523
4 (271-360),Avg.size,85085.62079510704
4 (271-360),Avg.functions-calls,1.545361875637105
4 (271-360),Total.projects,981
4 (271-360),Avg.AutoML-tools,0.72782874617737
6 (451-540),Avg.commits,275.79545454545456
6 (451-540),Avg.stars,61.541666666666664
6 (451-540),Avg.size,104675.14204545454
6 (451-540),Avg.functions-calls,2.022727272727273
6 (451-540),Total.projects,528
6 (451-540),Avg.AutoML-tools,0.7234848484848485
5 (361-450),Avg.commits,206.37482117310444
5 (361-450),Avg.stars,48.96995708154506
5 (361-450),Avg.size,103782.773962804
5 (361-450),Avg.functions-calls,1.5665236051502145
5 (361-450),Total.projects,699
5 (361-450),Avg.AutoML-tools,0.6895565092989986
8 (631-720),Avg.commits,421.3890675241158
8 (631-720),Avg.stars,118.73633440514469
8 (631-720),Avg.size,96990.07073954983
8 (631-720),Avg.functions-calls,2.077170418006431
8 (631-720),Total.projects,311
8 (631-720),Avg.AutoML-tools,0.7491961414790996
7 (541-630),Avg.commits,248.82397959183675
7 (541-630),Avg.stars,35.53061224489796
7 (541-630),Avg.size,187548.17857142858
7 (541-630),Avg.functions-calls,2.0306122448979593
7 (541-630),Total.projects,392
7 (541-630),Avg.AutoML-tools,0.7448979591836735
